trust_in_government,transcription,speechbrain_classification,sentiment_BERT,sentiment_GPT
5, Humans are fallible and I give the federal government an opportunity to make an occasional mistake.,['neu'],negative,neutral
4, I trust the Democrats. I don't trust the Republicans in our federal government at all.,['ang'],neutral,negative
3, you,['ang'],neutral,neutral
3, I say that because they can't be trusted. Every one of those old white men are out to get all the money and these are little tourists.,['neu'],negative,negative
3," I feel that politicians have ulterior motives. Things like getting re-elected, staying on party lines are more important to many politicians than doing what is right.",['neu'],negative,negative
2, I never trust them to do what is right because their interests are in money and power and not in the regular people which they don't even understand.,['neu'],negative,negative
5," I think we can trust the federal government in Washington most of the time, just because they are expected to follow the Constitution of the United States.",['neu'],neutral,positive
4," I don't think you can fully trust in anyone. You always have to have some doubt that people are doing things in the best of their own interests and not your own. So, I'd say about half the time, hopefully they're doing good, but we have to prepare in case they're not.",['neu'],negative,neutral
3, I selected some of the time because sometimes I think that politicians and people who have been in Washington for a long time don't understand what it's like for the people who are living outside of that area.,['neu'],negative,neutral
4," Because once they get elected, they seem to stop listening to what the people want.",['neu'],negative,negative
4," Because everything is politics today. It doesn't matter if you're a Democrat or a Republican, you always have a problem with each party.",['neu'],negative,neutral
5," After the COVID debacle, it was hard to trust the news, the government, anything an elected official said. So I'm just somewhat trustworthy of them telling me the truth.",['ang'],negative,negative
3, This question is getting asked multiple times.,['neu'],neutral,neutral
4," Sometimes the government does things in your favor, sometimes they don't.",['neu'],neutral,neutral
4, Most of the time the decisions revolve around my ethnic group. That's why.,['neu'],neutral,neutral
3, Many people in the federal government continue to let us down day after day.,['ang'],negative,negative
4, Because Republicans have too much power in Congress and they rarely do what is right.,['neu'],negative,negative
4," Because they keep a lot of things secret as they need to, but they're just trying to one up each other all the time. Instead of being for the people, they're for themselves.",['ang'],negative,negative
3," My opinion is that in some of these professions, you get into them thinking that you're going to be able to do the right things, and you discover that that's not the way the system works. And so sometimes corruption prevails.",['neu'],negative,negative
3, There's too much bipartisanship in the American government. It's always Dems against Republicans and they don't seem to get much done.,['neu'],negative,negative
3, I feel many of their motivations are financial rather than for the good of the common person.,['neu'],negative,negative
4," In particular, the Republicans tend to be devious in their actions or to have a different reason for the way they vote in Congress or in the Senate.",['neu'],negative,negative
3," Because I don't trust them all of the time. I disagree with a lot of the decisions that are made, whether it's a Democratic or Republican party.",['neu'],negative,negative
4, Right now the government is not functioning well together. They understand some of the issues that we're having and problems but they refuse to partner in solutions.,['neu'],negative,negative
3, I often believe that they are more concerned with benefiting themselves or their position rather than the right thing for the nation.,['ang'],negative,negative
4, The government does not seem to be focused on what is best for the general population.,['neu'],negative,negative
3, I believe that the government actually has their own agenda. So whether or not it's what should be done is up for debate. I think they're just looking out for their best interest. Maybe eighty percent of the time.,['neu'],neutral,negative
3," Currently, too many politicians in DC are aligned strictly with their party and aren't interested in doing what's best for the country as a whole or compromising to do things that might be against their personal philosophies.",['neu'],negative,negative
3," Because they don't do what they say they're going to do before they're elected. And it's a good old boy network, and everything happens behind closed doors. And what happens in public is more of a distraction, so they can do what they want to, and then play a game voting it.",['sad'],negative,negative
3, Often I don't trust politicians because they are working for their own interests and not working for the good of the majority of the people.,['neu'],negative,negative
5, This is because he's an elected government and the government knows what to do and how to do and how to go about it.,['neu'],neutral,neutral
3," In my experience, the federal government is sometimes very reliable, but history has shown that they are either inaccurate or intentionally deceptive.",['neu'],negative,negative
4," because there are multiple political parties, at least two at a time, in Washington and I cannot always be sure of what's going on behind the scenes that will affect what they actually vote to do.",['neu'],neutral,neutral
3, It is only some of the time that the interests of the all-too-wealthy and my interests seem to align.,['neu'],neutral,negative
4, I feel I can trust the federal government about half the time. I feel that some decisions that they make are politically motivated and not in the interest of the American people. Although other times I feel they are in the interest of the American people.,['ang'],neutral,neutral
3, because politicians are crooks,['ang'],negative,negative
3," I pick some of the time because they don't get it right all of the time. And I'm not sure they get it right most of the time, so it seemed like the right choice to me.",['ang'],neutral,neutral
4," Like everything else in life, the federal government, the human, and they sometimes they hit and miss, they try, you put things in place, but you do not get everybody to agree. So, you do things based on your judgment and sometimes it affects the whole nation as a whole.",['hap'],neutral,neutral
3," Some of the politicians in Washington seem to have their own agenda on what they want to see happen. They're not doing what necessarily the people want, although in some cases the people did elect them, but it's not always the majority. It's the majority of the voters, but not the majority of the people. And they, yeah, like I said, they seem to have their own agenda of what they want to see done, and they push that upon others that really they shouldn't have to.",['neu'],negative,negative
5," I think if you take the craziness and the partisan politics out of the entire thing, there's an awful lot of people that are good people that work in the different areas of federal government. I think they have the best interest at heart of most of the people in the country.",['sad'],positive,positive
3, I chose some of the time because I believe that the federal government only does things for their own interest and not for the interests of everyone.,['neu'],negative,negative
